drug_id,target_nm
DB00480,Prostaglandin G/H synthase 2
DB00480,Cadherin-5
DB00480,Protein cereblon
DB00529,DNA polymerase catalytic subunit
DB00529,DNA polymerase catalytic subunit
DB00533,Prostaglandin G/H synthase 2
DB00533,Elastin
DB00535,Penicillin-binding protein 2
DB00535,Peptidoglycan transpeptidase
DB00535,Myeloperoxidase
DB00535,PBP3
DB00541,Tubulin beta chain
DB00541,Tubulin alpha-4A chain
DB00558,Neuraminidase
DB00558,Neuraminidase
DB00558,Sialidase-2
DB00580,Carbonic anhydrase 3
DB00580,Prostaglandin G/H synthase 2
DB00580,Carbonic anhydrase 2
DB00601,23S ribosomal RNA
DB00625,Reverse transcriptase/RNaseH
DB00642,Thymidylate synthase
DB00642,Trifunctional purine biosynthetic protein adenosine-3
DB00642,Bifunctional purine biosynthesis protein PURH
DB00642,Dihydrofolate reductase
DB00648,"Adrenodoxin, mitochondrial"
DB00648,Estrogen receptor alpha
DB00648,Androgen receptor
DB00648,"Cytochrome P450 11B1, mitochondrial"
DB00648,Progesterone receptor
DB00685,DNA gyrase subunit A
DB00685,DNA topoisomerase 4 subunit A
DB00685,DNA topoisomerase 2-alpha
DB00695,Carbonic anhydrase 2
DB00695,Solute carrier family 12 member 1
DB00695,G-protein coupled receptor 35
DB00701,Human immunodeficiency virus type 1 protease
DB00705,Reverse transcriptase/RNaseH
DB00776,Sodium channel protein
DB00932,Human immunodeficiency virus type 1 protease
DB00976,23S ribosomal RNA
DB00978,DNA gyrase subunit A
DB00978,DNA topoisomerase 4 subunit A
DB00978,DNA topoisomerase 2-alpha
DB00995,"Peroxiredoxin-5, mitochondrial"
DB00995,Inhibitor of nuclear factor kappa-B kinase subunit beta
DB00996,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00996,Potassium voltage-gated channel subfamily KQT member 5
DB00996,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB00996,Potassium voltage-gated channel subfamily KQT member 3
DB00996,Adenosine receptor A1
DB00996,Voltage-dependent N-type calcium channel
DB01026,Lanosterol 14-alpha demethylase
DB01026,Androgen receptor
DB01026,"Steroid 17-alpha-hydroxylase/17,20 lyase"
DB01026,Steroid 21-hydroxylase
DB01026,Potassium voltage-gated channel subfamily H member 2
DB01026,Nuclear receptor subfamily 1 group I member 2
DB01026,Nuclear receptor subfamily 1 group I member 3
DB01041,alpha1-acid glycoprotein
DB01041,DNA
DB01041,Protein cereblon
DB01044,DNA topoisomerase 4 subunit B
DB01044,DNA gyrase subunit A
DB01044,DNA gyrase subunit B
DB01044,DNA topoisomerase 4 subunit A
DB01050,Prostaglandin G/H synthase 2
DB01050,Apoptosis regulator Bcl-2
DB01050,"Fatty acid-binding protein, intestinal"
DB01050,Peroxisome proliferator-activated receptor alpha
DB01050,Platelet glycoprotein Ib alpha chain
DB01050,Cystic fibrosis transmembrane conductance regulator
DB01050,Prostaglandin G/H synthase 1
DB01050,Thrombomodulin
DB01050,Peroxisome proliferator-activated receptor gamma
DB01050,Protein S100-A7
DB01059,DNA topoisomerase 2-alpha
DB01059,DNA gyrase subunit A
DB01059,DNA topoisomerase 2
DB01059,DNA gyrase subunit A
DB01059,DNA topoisomerase 4 subunit A
DB01059,DNA topoisomerase 4 subunit A
DB01066,Penicillin-binding protein 1A
DB01066,Penicillin-binding protein 2B
DB01080,"4-aminobutyrate aminotransferase, mitochondrial"
DB01082,Protein-arginine deiminase type-4
DB01082,23S ribosomal RNA
DB01082,30S ribosomal protein S12
DB01082,16S ribosomal RNA
DB01082,Bacterial outer membrane
DB01082,Cytoplasmic membrane
DB01088,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
DB01088,Prostaglandin E2 receptor EP1 subtype
DB01088,Prostacyclin receptor
DB01088,Prostaglandin D2 receptor 2
DB01088,Tissue-type plasminogen activator
DB01088,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
DB01088,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"
DB01088,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
DB01095,Histone deacetylase 2
DB01095,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB01101,DNA
DB01101,Thymidylate synthase
DB01101,RNA
DB01168,DNA
DB01168,Monoamine oxidase
DB01196,Microtubule-associated protein 1A
DB01196,Microtubule-associated protein 2
DB01196,Estrogen receptor beta
DB01196,Estrogen receptor alpha
DB01232,Human immunodeficiency virus type 1 protease
DB01263,Cytochrome P450 51
DB01280,DNA
DB01280,DNA polymerase alpha catalytic subunit
DB01280,DNA ligase 1
DB01280,DNA primase small subunit
DB01280,Ribonucleoside-diphosphate reductase large subunit
DB01628,Prostaglandin G/H synthase 2
DB04106,"Thioredoxin reductase 1, cytoplasmic"
DB04572,DNA
DB04845,Tubulin beta-3 chain
DB04868,Mast/stem cell growth factor receptor Kit
DB04868,Tyrosine-protein kinase ABL1
DB05015,Histone deacetylase
DB05109,DNA
DB05294,Vascular endothelial growth factor A
DB05294,Epidermal growth factor receptor
DB05294,Protein-tyrosine kinase 6
DB05294,Proto-oncogene tyrosine-protein kinase receptor Ret
DB05294,Angiopoietin-1 receptor
DB06176,Histone deacetylase
DB06176,Histone deacetylase 1
DB06176,Histone deacetylase 2
DB06176,Histone deacetylase 4
DB06176,Histone deacetylase 6
DB06176,Multidrug resistance-associated protein 1
DB06211,Penicillin-binding protein 3
DB06211,Penicillin-binding protein 1B
DB06211,Penicillin-binding protein 4
DB06211,Penicillin-binding protein 1A
DB06211,Penicillin-binding protein 2
DB06218,Sodium channel protein type 9 subunit alpha
DB06218,Sodium channel protein type 3 subunit alpha
DB06218,Sodium channel protein type 10 subunit alpha
DB06414,Gag-Pol polyprotein
DB06414,Reverse transcriptase/RNaseH
DB06414,Gag-Pol polyprotein
DB06589,Vascular endothelial growth factor receptor 3
DB06589,Vascular endothelial growth factor receptor 1
DB06589,Fibroblast growth factor receptor 3
DB06589,Fibroblast growth factor 1
DB06589,SH2B adapter protein 3
DB06589,Vascular endothelial growth factor receptor 2
DB06589,Platelet-derived growth factor receptor alpha
DB06589,Platelet-derived growth factor receptor beta
DB06589,Mast/stem cell growth factor receptor Kit
DB06589,Tyrosine-protein kinase ITK/TSK
DB06616,Tyrosine-protein kinase HCK
DB06616,STE20-like serine/threonine-protein kinase
DB06616,Calcium/calmodulin-dependent protein kinase type II subunit gamma
DB06616,Tyrosine-protein kinase Fgr
DB06616,Tyrosine-protein kinase Tec
DB06616,Tyrosine-protein kinase ABL1
DB06616,Tyrosine-protein kinase Lyn
DB06616,Proto-oncogene tyrosine-protein kinase Src
DB06616,Dual specificity mitogen-activated protein kinase kinase 1
DB06616,Dual specificity mitogen-activated protein kinase kinase 2
DB06616,Mitogen-activated protein kinase kinase kinase 2
DB06626,Vascular endothelial growth factor receptor 2
DB06626,Vascular endothelial growth factor receptor 1
DB06626,Vascular endothelial growth factor receptor 3
DB06699,Gonadotropin-releasing hormone receptor
DB08828,Smoothened homolog
DB08865,Hepatocyte growth factor receptor
DB08865,Proto-oncogene tyrosine-protein kinase ROS
DB08865,ALK tyrosine kinase receptor
DB08865,Macrophage-stimulating protein receptor
DB08871,Tubulin beta-1 chain
DB08871,Apoptosis regulator Bcl-2
DB08873,NS3/4A protein
DB08875,Hepatocyte growth factor receptor
DB08875,Proto-oncogene tyrosine-protein kinase receptor Ret
DB08875,Vascular endothelial growth factor receptor 2
DB08877,Tyrosine-protein kinase JAK1
DB08877,Tyrosine-protein kinase JAK2
DB08877,Tyrosine-protein kinase JAK3
DB08877,Non-receptor tyrosine-protein kinase TYK2
DB08881,Serine/threonine-protein kinase B-raf
DB08883,Glutamate receptor 1
DB08896,Platelet-derived growth factor receptor alpha
DB08896,Fibroblast growth factor receptor 1
DB08896,Fibroblast growth factor receptor 2
DB08896,High affinity nerve growth factor receptor
DB08896,Tyrosine-protein kinase FRK
DB08896,Proto-oncogene tyrosine-protein kinase receptor Ret
DB08896,Mast/stem cell growth factor receptor Kit
DB08896,Platelet-derived growth factor receptor beta
DB08896,RAF proto-oncogene serine/threonine-protein kinase
DB08896,Serine/threonine-protein kinase B-raf
DB08896,Mitogen-activated protein kinase 11
DB08896,Vascular endothelial growth factor receptor 1
DB08896,Vascular endothelial growth factor receptor 2
DB08896,Vascular endothelial growth factor receptor 3
DB08896,Angiopoietin-1 receptor
DB08896,Discoidin domain-containing receptor 2
DB08896,Ephrin type-A receptor 2
DB08896,Tyrosine-protein kinase ABL1
DB08901,Receptor-type tyrosine-protein kinase FLT3
DB08901,Fibroblast growth factor receptor 3
DB08901,Tyrosine-protein kinase Lck
DB08901,Tyrosine-protein kinase ABL1
DB08901,Breakpoint cluster region protein
DB08901,Fibroblast growth factor receptor 1
DB08901,Fibroblast growth factor receptor 4
DB08901,Proto-oncogene tyrosine-protein kinase Src
DB08901,Tyrosine-protein kinase Lyn
DB08901,Platelet-derived growth factor receptor alpha
DB08901,Mast/stem cell growth factor receptor Kit
DB08901,Proto-oncogene tyrosine-protein kinase receptor Ret
DB08901,Angiopoietin-1 receptor
DB08901,Fibroblast growth factor receptor 2
DB08901,Vascular endothelial growth factor receptor 2
DB08910,Tumor necrosis factor
DB08910,Prostaglandin G/H synthase 2
DB08910,Protein cereblon
DB08911,Dual specificity mitogen-activated protein kinase kinase 2
DB08911,Dual specificity mitogen-activated protein kinase kinase 1
DB08912,RAF proto-oncogene serine/threonine-protein kinase
DB08912,Serine/threonine-protein kinase B-raf
DB08912,Serine/threonine-protein kinase SIK1
DB08912,Serine/threonine-protein kinase Nek11
DB08912,LIM domain kinase 1
DB08916,Epidermal growth factor receptor
DB08916,Receptor tyrosine-protein kinase erbB-2
DB08916,Receptor tyrosine-protein kinase erbB-4
DB08930,Integrase
DB08934,RNA-dependent RNA-polymerase
DB09030,Proteinase-activated receptor 1
DB09101,Integrase
DB11641,Tubulin beta chain
DB06736,Prostaglandin G/H synthase 2
DB06736,Prostaglandin G/H synthase 1
DB00415,Angiopoietin-1 receptor
DB00415,Penicillin-binding protein 2B
DB00415,Solute carrier family 15 member 1
DB00415,Solute carrier family 15 member 2
DB00415,Penicillin-binding protein 2a
DB00415,Penicillin-binding protein 1b
DB00415,Penicillin-binding protein 3
DB00415,Penicillin-binding protein 1A
DB08795,Penicillin-binding protein 1A
DB08795,Penicillin-binding protein 2a
DB08795,Penicillin-binding protein 1b
DB08795,Penicillin-binding protein 3
DB08795,Penicillin-binding protein 2B
DB01061,Penicillin-binding protein 1A
DB01602,Penicillin-binding protein
DB01053,Solute carrier family 22 member 8
DB01053,Solute carrier family 15 member 1
DB01053,Penicillin-binding protein 3
DB01053,Solute carrier family 15 member 2
DB00578,Beta-lactamase Toho-1
DB00578,Penicillin-binding protein
DB09319,Penicillin-binding protein
DB01414,Penicillin-binding protein 1B
DB01414,Penicillin-binding protein 1A
DB00456,D-alanyl-D-alanine carboxypeptidase
DB00456,Penicillin-binding protein 3
DB00456,Penicillin-binding protein 2a
DB00456,Penicillin-binding protein 1A
DB00456,Beta-lactamase
DB00456,Penicillin-binding protein 1A
DB00456,Penicillin-binding protein 1b
DB00456,Penicillin-binding protein 2B
DB01326,Penicillin-binding protein 2
DB01139,Penicillin-binding protein 1A
DB00267,Peptidoglycan synthase FtsI
DB00267,Penicillin-binding protein 1A
DB00274,Peptidoglycan synthase FtsI
DB00274,D-alanyl-D-alanine carboxypeptidase DacA
DB00274,Penicillin binding protein 2a
DB00274,Penicillin-binding protein 1B
DB00274,Penicillin-binding protein 1A
DB00274,D-alanyl-D-alanine carboxypeptidase DacC
DB01328,D-alanyl-D-alanine carboxypeptidase DacB
DB01328,Penicillin-binding protein 1A
DB01328,Penicillin-binding protein 1B
DB01328,Peptidoglycan synthase FtsI
DB01328,Penicillin-binding protein 2
DB01329,D-alanyl-D-alanine carboxypeptidase DacA
DB01329,Penicillin-binding protein 1B
DB01329,Penicillin-binding protein 1B
DB01329,D-alanyl-D-alanine carboxypeptidase DacC
DB01329,Penicillin-binding protein 1A
DB01329,Peptidoglycan synthase FtsI
DB01329,Penicillin-binding protein 2
DB01329,Penicillin-binding protein 1A
DB01329,D-alanyl-D-alanine carboxypeptidase DacB
DB00923,Penicillin-binding protein 2
DB00229,Penicillin-binding protein 1A
DB01333,Penicillin-binding protein 1A
DB11367,Penicillin-binding protein 1B
DB01415,Penicillin-binding protein 2
DB01415,Peptidoglycan synthase FtsI
DB01415,Penicillin-binding protein 1A
DB01415,Penicillin-binding protein 1B
DB01332,D-alanyl-D-alanine carboxypeptidase DacC
DB01332,Penicillin-binding protein 1A
DB01332,Penicillin-binding protein 1B
DB01332,Peptidoglycan transpeptidase
DB01147,D-alanyl-D-alanine carboxypeptidase DacA
DB01147,Penicillin-binding protein 2X
DB01147,Penicillin-binding protein 1A
DB00080,Cytoplasmic membrane
DB00739,Penicillin-binding protein 2a
DB00739,Penicillin-binding protein 2B
DB00739,Penicillin-binding protein 1b
DB00739,Penicillin-binding protein 3
DB00739,Penicillin-binding protein 1A
DB04570,Penicillin-binding protein 3
DB04570,D-alanyl-D-alanine carboxypeptidase DacB
DB04570,Penicillin-binding protein 1A
DB04570,Penicillin-binding protein 1B
DB00447,Penicillin-binding protein 1A
DB00447,Penicillin-binding protein 3
DB01603,Penicillin-binding protein 3
DB01603,Penicillin-binding protein 1b
DB01603,MecA PBP2' (penicillin binding protein 2')
DB01603,Penicillin-binding protein 2a
DB01603,Penicillin-binding protein 2B
DB01603,Penicillin-binding protein 1A
DB00948,Penicillin-binding protein 3
DB00948,Penicillin-binding protein 1A
DB00948,Penicillin-binding protein 2
DB01604,Penicillin-binding protein 1A
DB01605,Penicillin-binding protein 1A
DB00908,Sodium channel protein type 5 subunit alpha
DB00908,Potassium channel subfamily K member 1
DB00908,Potassium channel subfamily K member 6
DB00908,Alpha-1A adrenergic receptor
DB00908,Alpha-1D adrenergic receptor
DB00908,Potassium voltage-gated channel subfamily H member 2
DB00908,Alpha-1B adrenergic receptor
DB06149,D-Ala-D-Ala moiety of NAM/NAG peptide subunits of peptidoglycan
DB01607,Penicillin binding protein 2a
