drug_id,target_nm
DB00605,Mitogen-activated protein kinase 3
DB00605,Prostaglandin G/H synthase 1
DB00605,Peroxisome proliferator-activated receptor delta
DB00605,Aldo-keto reductase family 1 member B10
DB00605,Prostaglandin G/H synthase 2
DB00605,Aldose reductase
DB00605,Prostaglandin D2 receptor 2
DB00500,Prostaglandin G/H synthase 1
DB00500,Prostaglandin G/H synthase 2
DB00501,Histamine H2 receptor
DB00808,Solute carrier family 12 member 3
DB00554,Prostaglandin G/H synthase 1
DB00554,Prostaglandin G/H synthase 2
DB01110,Cytochrome P450 51
DB01110,Calcium-activated potassium channel
DB01110,Inward rectifier potassium channel
DB01110,"Nitric oxide synthase, endothelial"
DB01110,Nuclear receptor subfamily 1 group I member 2
DB01110,Voltage-gated Potassium Channels
DB01110,Voltage gated L-type calcium channel
DB01110,"Nitric oxide synthase, inducible"
DB00465,Prostaglandin G/H synthase 1
DB00465,Prostaglandin G/H synthase 2
DB00863,Histamine H2 receptor
DB00863,Acetylcholinesterase
DB00330,Probable arabinosyltransferase B
DB00330,Probable arabinosyltransferase A
DB00330,Probable arabinosyltransferase C
DB00242,Ribonucleoside-diphosphate reductase large subunit
DB00242,DNA polymerase epsilon catalytic subunit A
DB00242,DNA polymerase epsilon subunit 3
DB00242,DNA polymerase epsilon subunit 4
DB00242,Poly [ADP-ribose] polymerase 1
DB00242,DNA
DB00242,DNA polymerase epsilon subunit 2
DB00242,Purine nucleoside phosphorylase
DB00242,Ribonucleoside-diphosphate reductase subunit M2
DB00242,Ribonucleoside-diphosphate reductase subunit M2 B
DB00242,DNA polymerase alpha catalytic subunit
DB00290,DNA
DB00290,DNA ligase 1
DB00290,DNA ligase 3
DB01190,50S ribosomal protein L1
DB01331,Peptidoglycan synthase FtsI
DB01331,D-alanyl-D-alanine carboxypeptidase DacC
DB01331,Penicillin-binding protein 3
DB01331,Penicillin-binding protein 1A
DB01331,Penicillin-binding protein 2a
DB01331,Penicillin-binding protein 1A
DB01331,Penicillin-binding protein 1B
DB01331,D-alanyl-D-alanine carboxypeptidase DacA
DB01331,D-alanyl-D-alanine carboxypeptidase DacB
DB01331,D-alanyl-D-alanine endopeptidase
DB01331,Penicillin-binding protein 1b
DB01331,Penicillin-binding protein 2B
DB00564,Voltage-gated sodium channel alpha subunit
DB00564,Neuronal acetylcholine receptor subunit alpha-4
DB00564,Nuclear receptor subfamily 1 group I member 2
DB01118,Voltage-dependent T-type calcium channel subunit alpha-1I
DB01118,Voltage gated L-type calcium channel
DB01118,Peroxisome proliferator-activated receptor gamma coactivator 1-beta
DB01118,Beta adrenergic receptor
DB01118,HERG human cardiac K+ channel
DB01118,Thyroid hormone receptor
DB01118,Peroxisome proliferator-activated receptor gamma
DB01118,Peroxisome proliferator-activated receptor alpha
DB00927,Histamine H2 receptor
DB01068,GABA(A) Receptor Benzodiazepine Binding Site
DB01068,GABA(A) Receptor
DB01068,Nuclear receptor subfamily 1 group I member 2
DB01327,Penicillin-binding protein 1B
DB01327,Penicillin-binding protein 1C
DB01327,Peptidoglycan synthase FtsI
DB01327,Interleukin-2
DB01327,Penicillin-binding protein 2
DB01327,Interleukin-15
DB01327,Serum paraoxonase/arylesterase 1
DB01327,Penicillin-binding protein 1A
DB00851,DNA polymerase alpha subunit B
DB00851,"6-phosphogluconate dehydrogenase, decarboxylating"
DB00851,DNA
DB00227,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00227,Histone deacetylase 2
DB00227,Integrin alpha-L
DB01009,Prostaglandin G/H synthase 1
DB01009,C-X-C chemokine receptor type 1
DB01009,Prostaglandin G/H synthase 2
DB00585,Histamine H2 receptor
DB01229,Nuclear receptor subfamily 1 group I member 2
DB01229,Microtubule-associated protein 2
DB01229,Apoptosis regulator Bcl-2
DB01229,Tubulin beta-1 chain
DB01229,Microtubule-associated protein 4
DB01229,Microtubule-associated protein tau
DB01182,Sodium channel protein type 5 subunit alpha
DB01182,Potassium voltage-gated channel subfamily H member 2
DB01182,Beta-1 adrenergic receptor
DB01182,Beta-2 adrenergic receptor
DB00478,Matrix protein 2
DB00196,Cytochrome P450 51
DB00675,Estrogen receptor beta
DB00675,Androgen receptor
DB00675,Estrogen-related receptor gamma
DB00675,Mitogen-activated protein kinase 8
DB00675,Estrogen receptor alpha
